  2459744.2999850       1.011242       0.004358 0 -1 -1 
  2459744.3013740       0.998652       0.004345 0 -1 -1 
  2459744.3027630       1.001903       0.004344 0 -1 -1 
  2459744.3041510       1.010398       0.004356 0 -1 -1 
  2459744.3055400       0.992789       0.004337 0 -1 -1 
  2459744.3069290       1.001511       0.004355 0 -1 -1 
  2459744.3083180       1.000773       0.004348 0 -1 -1 
  2459744.3097070       1.002677       0.004353 0 -1 -1 
  2459744.3110960       1.004883       0.004356 0 -1 -1 
  2459744.3124850       0.998248       0.004352 0 -1 -1 
  2459744.3138740       1.007652       0.004361 0 -1 -1 
  2459744.3152630       0.997460       0.004351 0 -1 -1 
  2459744.3166510       1.009805       0.004362 0 -1 -1 
  2459744.3180400       1.007589       0.004369 0 -1 -1 
  2459744.3194290       0.997501       0.004359 0 -1 -1 
  2459744.3208180       1.002061       0.004365 0 -1 -1 
  2459744.3222070       1.005852       0.004369 0 -1 -1 
  2459744.3235960       1.001428       0.004367 0 -1 -1 
  2459744.3249850       0.998686       0.004368 0 -1 -1 
  2459744.3263740       0.997098       0.004369 0 -1 -1 
  2459744.3277630       1.000603       0.004371 0 -1 -1 
  2459744.3291510       1.002143       0.004375 0 -1 -1 
  2459744.3305400       1.001463       0.004378 0 -1 -1 
  2459744.3319290       1.000493       0.004378 0 -1 -1 
  2459744.3333180       1.001864       0.004377 0 -1 -1 
  2459744.3347070       1.001616       0.004385 0 -1 -1 
  2459744.3360960       0.996125       0.004381 0 -1 -1 
  2459744.3374850       1.004287       0.004390 0 -1 -1 
  2459744.3388740       1.015491       0.004401 0 -1 -1 
  2459744.3402630       1.005243       0.004393 0 -1 -1 
  2459744.3416510       0.997072       0.004390 0 -1 -1 
  2459744.3430400       1.008045       0.004399 0 -1 -1 
  2459744.3444290       0.999287       0.004396 0 -1 -1 
  2459744.3458180       0.994748       0.004396 0 -1 -1 
  2459744.3472070       1.002045       0.004404 0 -1 -1 
  2459744.3485960       0.995674       0.004401 0 -1 -1 
  2459744.3499850       1.002242       0.004407 0 -1 -1 
  2459744.3513740       1.007613       0.004411 0 -1 -1 
  2459744.3527630       1.008036       0.004414 0 -1 -1 
  2459744.3541510       0.998047       0.004409 0 -1 -1 
  2459744.3555400       1.001820       0.004416 0 -1 -1 
  2459744.3569290       0.994999       0.004413 0 -1 -1 
  2459744.3583180       0.999017       0.004422 0 -1 -1 
  2459744.3597070       0.996813       0.004420 0 -1 -1 
  2459744.3610960       1.002072       0.004425 0 -1 -1 
  2459744.3624850       0.999949       0.004426 0 -1 -1 
  2459744.3638740       0.997651       0.004429 0 -1 -1 
  2459744.3652620       0.997513       0.004430 0 -1 -1 
  2459744.3666510       0.993568       0.004430 0 -1 -1 
  2459744.3680400       1.005936       0.004445 0 -1 -1 
  2459744.3694290       0.998746       0.004438 0 -1 -1 
  2459744.3708180       0.990578       0.004433 0 -1 -1 
  2459744.3722070       0.998698       0.004443 0 -1 -1 
  2459744.3735960       1.004707       0.004452 0 -1 -1 
  2459744.3749850       1.007927       0.004453 0 -1 -1 
  2459744.3763740       1.007400       0.004457 0 -1 -1 
  2459744.3777620       0.999290       0.004456 0 -1 -1 
  2459744.3791510       1.000040       0.004457 0 -1 -1 
  2459744.3805400       0.999384       0.004463 0 -1 -1 
  2459744.3819290       0.998335       0.004460 0 -1 -1 
  2459744.3833180       1.003789       0.004470 0 -1 -1 
  2459744.3847070       1.001143       0.004469 0 -1 -1 
  2459744.3860960       0.999361       0.004470 0 -1 -1 
  2459744.3874850       1.001888       0.004473 0 -1 -1 
  2459744.3888740       1.005967       0.004485 0 -1 -1 
  2459744.3902620       1.008311       0.004485 0 -1 -1 
  2459744.3916510       1.004234       0.004488 0 -1 -1 
  2459744.3930400       1.004137       0.004489 0 -1 -1 
  2459744.3944290       0.999935       0.004488 0 -1 -1 
  2459744.3958180       1.000638       0.004488 0 -1 -1 
  2459744.3972070       0.992626       0.004485 0 -1 -1 
  2459744.3985960       0.998414       0.004498 0 -1 -1 
  2459744.3999850       1.001361       0.004497 0 -1 -1 
  2459744.4013740       1.006493       0.004509 0 -1 -1 
  2459744.4027620       1.006812       0.004509 0 -1 -1 
  2459744.4041510       1.002195       0.004505 0 -1 -1 
  2459744.4055400       1.006027       0.004510 0 -1 -1 
  2459744.4069290       0.994805       0.004503 0 -1 -1 
  2459744.4083180       1.004463       0.004515 0 -1 -1 
  2459744.4097070       0.987407       0.004505 0 -1 -1 
  2459744.4110960       0.997976       0.004520 0 -1 -1 
  2459744.4124850       0.998825       0.004521 0 -1 -1 
  2459744.4138730       0.999146       0.004524 0 -1 -1 
  2459744.4152620       0.998965       0.004524 0 -1 -1 
  2459744.4166510       1.000552       0.004523 0 -1 -1 
  2459744.4180400       1.006296       0.004531 0 -1 -1 
  2459744.4194290       1.001493       0.004530 0 -1 -1 
  2459744.4208180       1.005973       0.004534 0 -1 -1 
  2459744.4222070       0.997840       0.004533 0 -1 -1 
  2459744.4235960       0.997021       0.004537 0 -1 -1 
  2459744.4249850       0.998350       0.004534 0 -1 -1 
  2459744.4263730       1.009331       0.004547 0 -1 -1 
  2459744.4277620       0.995900       0.004535 0 -1 -1 
  2459744.4291510       1.000848       0.004540 0 -1 -1 
  2459744.4305400       0.999742       0.004543 0 -1 -1 
  2459744.4319290       0.993826       0.004537 0 -1 -1 
  2459744.4333180       1.007381       0.004552 0 -1 -1 
  2459744.4347070       0.999552       0.004549 0 -1 -1 
  2459744.4360960       1.000781       0.004546 0 -1 -1 
  2459744.4374850       0.991271       0.004544 0 -1 -1 
  2459744.4388730       1.001821       0.004555 0 -1 -1 
  2459744.4402620       1.004533       0.004556 0 -1 -1 
  2459744.4416510       0.992069       0.004546 0 -1 -1 
  2459744.4430400       1.000270       0.004549 0 -1 -1 
  2459744.4444290       0.993394       0.004553 0 -1 -1 
  2459744.4458180       0.994086       0.004559 0 -1 -1 
  2459744.4472070       1.005163       0.004564 0 -1 -1 
  2459744.4485960       1.003889       0.004565 0 -1 -1 
  2459744.4499850       1.002461       0.004564 0 -1 -1 
  2459744.4513730       0.996704       0.004561 0 -1 -1 
  2459744.4527620       1.004049       0.004564 0 -1 -1 
  2459744.4541510       0.994544       0.004565 0 -1 -1 
  2459744.4555400       0.998507       0.004568 0 -1 -1 
  2459744.4569290       1.003998       0.004576 0 -1 -1 
  2459744.4583180       0.997324       0.004570 0 -1 -1 
  2459744.4597070       0.999365       0.004569 0 -1 -1 
  2459744.4610960       1.005379       0.004579 0 -1 -1 
  2459744.4624850       1.001414       0.004575 0 -1 -1 
  2459744.4638730       0.993241       0.004570 0 -1 -1 
  2459744.4652620       0.996651       0.004577 0 -1 -1 
  2459744.4666510       1.004499       0.004587 0 -1 -1 
  2459744.4680400       1.006931       0.004589 0 -1 -1 
  2459744.4694290       1.004316       0.004585 0 -1 -1 
  2459744.4708180       1.000363       0.004583 0 -1 -1 
  2459744.4722070       1.004725       0.004591 0 -1 -1 
  2459744.4735960       1.000086       0.004589 0 -1 -1 
  2459744.4749840       0.997031       0.004588 0 -1 -1 
  2459744.4763730       1.001780       0.004595 0 -1 -1 
  2459744.4777620       0.995519       0.004589 0 -1 -1 
  2459744.4791510       0.994412       0.004597 0 -1 -1 
  2459744.4805400       0.999158       0.004599 0 -1 -1 
  2459744.4819290       0.995693       0.004597 0 -1 -1 
  2459744.4833180       1.002492       0.004606 0 -1 -1 
  2459744.4847070       0.997966       0.004608 0 -1 -1 
  2459744.4860960       1.003141       0.004610 0 -1 -1 
  2459744.4874840       1.003662       0.004613 0 -1 -1 
  2459744.4888730       0.999967       0.004616 0 -1 -1 
  2459744.4902620       0.995609       0.004610 0 -1 -1 
  2459744.4916510       1.006500       0.004623 0 -1 -1 
  2459744.4930400       0.997881       0.004615 0 -1 -1 
  2459744.4944290       0.999366       0.004622 0 -1 -1 
  2459744.4958180       1.004674       0.004632 0 -1 -1 
  2459744.4972070       1.000047       0.004626 0 -1 -1 
  2459744.4985960       0.993673       0.004619 0 -1 -1 
  2459744.4999840       0.994093       0.004624 0 -1 -1 
  2459744.5013730       1.003813       0.004635 0 -1 -1 
  2459744.5027620       1.000627       0.004633 0 -1 -1 
  2459744.5041510       1.001864       0.004639 0 -1 -1 
  2459744.5055400       0.998936       0.004638 0 -1 -1 
  2459744.5069290       0.997365       0.004637 0 -1 -1 
  2459744.5083180       1.008599       0.004649 0 -1 -1 
  2459744.5097070       1.000130       0.004644 0 -1 -1 
  2459744.5110960       1.000379       0.004649 0 -1 -1 
  2459744.5124840       1.003109       0.004648 0 -1 -1 
  2459744.5138730       0.997056       0.004653 0 -1 -1 
  2459744.5152620       1.001505       0.004652 0 -1 -1 
  2459744.5166510       0.996424       0.004658 0 -1 -1 
  2459744.5180400       1.002889       0.004658 0 -1 -1 
  2459744.5194290       1.004934       0.004663 0 -1 -1 
  2459744.5208180       1.006118       0.004662 0 -1 -1 
  2459744.5222070       0.998994       0.004658 0 -1 -1 
  2459744.5235950       0.993997       0.004656 0 -1 -1 
  2459744.5249840       0.999623       0.004664 0 -1 -1 
  2459744.5263730       0.996454       0.004664 0 -1 -1 
  2459744.5277620       0.996638       0.004663 0 -1 -1 
  2459744.5291510       0.999993       0.004667 0 -1 -1 
  2459744.5305400       1.002287       0.004674 0 -1 -1 
  2459744.5319290       0.998044       0.004669 0 -1 -1 
  2459744.5333180       1.002282       0.004673 0 -1 -1 
  2459744.5347070       1.000258       0.004675 0 -1 -1 
  2459744.5360950       0.993868       0.004678 0 -1 -1 
  2459744.5374840       0.993368       0.004674 0 -1 -1 
  2459744.5388730       1.004138       0.004685 0 -1 -1 
  2459744.5402620       1.002424       0.004689 0 -1 -1 
  2459744.5416510       0.995638       0.004685 0 -1 -1 
  2459744.5430400       0.999492       0.004685 0 -1 -1 
  2459744.5444290       0.997150       0.004685 0 -1 -1 
  2459744.5458180       0.994703       0.004681 0 -1 -1 
  2459744.5472070       1.004067       0.004695 0 -1 -1 
  2459744.5485950       0.998584       0.004689 0 -1 -1 
  2459744.5499840       0.992922       0.004690 0 -1 -1 
  2459744.5513730       0.997359       0.004693 0 -1 -1 
  2459744.5527620       0.998461       0.004695 0 -1 -1 
  2459744.5541510       0.995718       0.004694 0 -1 -1 
  2459744.5555400       0.995371       0.004700 0 -1 -1 
  2459744.5569290       1.005448       0.004706 0 -1 -1 
  2459744.5583180       0.997332       0.004697 0 -1 -1 
  2459744.5597070       1.004297       0.004705 0 -1 -1 
  2459744.5610950       0.998844       0.004706 0 -1 -1 
  2459744.5624840       1.004990       0.004710 0 -1 -1 
  2459744.5638730       0.996917       0.004709 0 -1 -1 
  2459744.5652620       0.994890       0.004706 0 -1 -1 
  2459744.5666510       0.994488       0.004706 0 -1 -1 
  2459744.5680400       0.993943       0.004707 0 -1 -1 
  2459744.5694290       0.997578       0.004714 0 -1 -1 
  2459744.5708180       0.999742       0.004716 0 -1 -1 
  2459744.5722060       1.002003       0.004718 0 -1 -1 
  2459744.5735950       1.002787       0.004728 0 -1 -1 
  2459744.5749840       1.009935       0.004727 0 -1 -1 
  2459744.5763730       0.992392       0.004719 0 -1 -1 
  2459744.5777620       0.996023       0.004721 0 -1 -1 
  2459744.5791510       1.008538       0.004730 0 -1 -1 
  2459744.5805400       0.997585       0.004721 0 -1 -1 
  2459744.5819290       0.999501       0.004726 0 -1 -1 
  2459744.5833180       0.995203       0.004721 0 -1 -1 
  2459744.5847060       0.996677       0.004720 0 -1 -1 
  2459744.5860950       0.995369       0.004719 0 -1 -1 
  2459744.5874840       1.001096       0.004727 0 -1 -1 
  2459744.5888730       0.990713       0.004722 0 -1 -1 
  2459744.5902620       0.995243       0.004717 0 -1 -1 
  2459744.5916510       0.999046       0.004723 0 -1 -1 
  2459744.5930400       0.996204       0.004717 0 -1 -1 
  2459744.5944290       1.000470       0.004721 0 -1 -1 
  2459744.5958180       1.003310       0.004720 0 -1 -1 
  2459744.5972060       1.003098       0.004724 0 -1 -1 
  2459744.5985950       1.001567       0.004718 0 -1 -1 
  2459744.5999840       0.996745       0.004718 0 -1 -1 
  2459744.6013730       0.994109       0.004716 0 -1 -1 
  2459744.6027620       0.999622       0.004719 0 -1 -1 
  2459744.6041510       0.998113       0.004718 0 -1 -1 
  2459744.6055400       1.006728       0.004727 0 -1 -1 
  2459744.6069290       0.998234       0.004713 0 -1 -1 
  2459744.6083180       1.003455       0.004724 0 -1 -1 
  2459744.6097060       1.000850       0.004720 0 -1 -1 
  2459744.6110950       0.996716       0.004720 0 -1 -1 
  2459744.6124840       1.009268       0.004724 0 -1 -1 
  2459744.6138730       0.989957       0.004708 0 -1 -1 
  2459744.6152620       0.997642       0.004719 0 -1 -1 
  2459744.6166510       1.004475       0.004725 0 -1 -1 
  2459744.6180400       1.006019       0.004726 0 -1 -1 
  2459744.6194290       1.000052       0.004721 0 -1 -1 
  2459744.6208170       0.995107       0.004714 0 -1 -1 
  2459744.6222060       1.004067       0.004727 0 -1 -1 
  2459744.6235950       1.001307       0.004721 0 -1 -1 
  2459744.6249840       1.005721       0.004725 0 -1 -1 
  2459744.6263730       1.000249       0.004721 0 -1 -1 
  2459744.6277620       1.001907       0.004722 0 -1 -1 
  2459744.6291510       0.998267       0.004720 0 -1 -1 
  2459744.6305400       1.000243       0.004726 0 -1 -1 
  2459744.6319290       1.000427       0.004727 0 -1 -1 
  2459744.6333170       0.998842       0.004724 0 -1 -1 
  2459744.6347060       0.998498       0.004727 0 -1 -1 
  2459744.6360950       1.007978       0.004733 0 -1 -1 
  2459744.6374840       0.996080       0.004724 0 -1 -1 
  2459744.6388730       1.001995       0.004730 0 -1 -1 
  2459744.6402620       1.002464       0.004727 0 -1 -1 
  2459744.6416510       0.998791       0.004727 0 -1 -1 
