  2459718.638463      1794.028687         7.928601
  2459718.639852      1801.850098         7.927394
  2459718.641241      1794.616943         7.933577
  2459718.642630      1798.826782         7.929401
  2459718.644019      1798.533691         7.939131
  2459718.645408      1796.400146         7.926983
  2459718.646797      1798.529785         7.923223
  2459718.648186      1794.348267         7.930240
  2459718.649575      1800.739380         7.926113
  2459718.650964      1796.250610         7.926973
  2459718.652353      1797.595093         7.926273
  2459718.653742      1797.613525         7.924911
  2459718.655131      1788.369385         7.917539
  2459718.656519      1790.945557         7.914952
  2459718.657908      1791.025146         7.926470
  2459718.659297      1788.964844         7.911975
  2459718.660686      1802.395996         7.930640
  2459718.662075      1799.695068         7.938402
  2459718.663464      1788.445312         7.918951
  2459718.664853      1791.164307         7.926010
  2459718.666242      1801.351074         7.935277
  2459718.667631      1790.688843         7.922460
  2459718.669020      1808.828369         7.941681
  2459718.670409      1786.519287         7.913774
  2459718.671798      1800.089966         7.935309
  2459718.673187      1800.965088         7.934689
  2459718.674575      1793.770996         7.924640
  2459718.675964      1804.472290         7.938120
  2459718.677353      1791.901001         7.926387
  2459718.678742      1798.144531         7.931670
  2459718.680131      1797.531128         7.923257
  2459718.681520      1806.696655         7.936107
  2459718.682909      1783.126343         7.923258
  2459718.684298      1797.391602         7.932511
  2459718.685687      1800.364380         7.936367
  2459718.687076      1778.678711         7.911784
  2459718.688465      1794.697754         7.924256
  2459718.689854      1800.090454         7.930850
  2459718.691242      1802.267822         7.930241
  2459718.692631      1791.130737         7.917619
  2459718.694020      1797.132935         7.922267
  2459718.695409      1794.908569         7.929996
  2459718.696798      1788.156616         7.922537
  2459718.698187      1791.604248         7.922404
  2459718.699576      1801.416992         7.937481
  2459718.700965      1803.000732         7.926958
  2459718.702354      1793.454590         7.923804
  2459718.703743      1780.952881         7.913837
  2459718.705132      1799.417969         7.932973
  2459718.706521      1791.891846         7.918858
  2459718.707910      1780.227417         7.921806
  2459718.709298      1798.416504         7.932415
  2459718.710687      1786.064575         7.914799
  2459718.712076      1792.916992         7.935594
  2459718.713465      1788.132568         7.925735
  2459718.714854      1788.233398         7.928389
  2459718.716243      1797.499756         7.929896
  2459718.717632      1795.345703         7.936950
  2459718.719021      1784.051147         7.911180
