  2459467.2842392       0.765932       0.002907 0 -1 -1 
  2459467.2842942       0.761043       0.002866 0 -1 -1 
  2459467.2843492       0.761708       0.002884 0 -1 -1 
  2459467.2844042       0.763610       0.002894 0 -1 -1 
  2459467.2844602       0.757528       0.002821 0 -1 -1 
  2459467.2845152       0.773146       0.002901 0 -1 -1 
  2459467.2845702       0.756848       0.002836 0 -1 -1 
  2459467.2846262       0.760966       0.002837 0 -1 -1 
  2459467.2846812       0.764772       0.002849 0 -1 -1 
  2459467.2847362       0.766689       0.002852 0 -1 -1 
  2459467.2847922       0.754231       0.002810 0 -1 -1 
  2459467.2848472       0.764823       0.002859 0 -1 -1 
  2459467.2849042       0.761714       0.002860 0 -1 -1 
  2459467.2849582       0.759889       0.002855 0 -1 -1 
  2459467.2850142       0.761301       0.002857 0 -1 -1 
  2459467.2850692       0.759550       0.002868 0 -1 -1 
  2459467.2851242       0.762977       0.002860 0 -1 -1 
  2459467.2851812       0.758658       0.002836 0 -1 -1 
  2459467.2852372       0.766520       0.002868 0 -1 -1 
  2459467.2852932       0.763741       0.002849 0 -1 -1 
  2459467.2853482       0.760003       0.002842 0 -1 -1 
  2459467.2854042       0.764839       0.002864 0 -1 -1 
  2459467.2854592       0.766938       0.002844 0 -1 -1 
  2459467.2855142       0.767578       0.002854 0 -1 -1 
  2459467.2855692       0.760950       0.002834 0 -1 -1 
  2459467.2856252       0.764320       0.002847 0 -1 -1 
  2459467.2856802       0.763048       0.002834 0 -1 -1 
  2459467.2857372       0.765314       0.002874 0 -1 -1 
  2459467.2857922       0.756138       0.002825 0 -1 -1 
  2459467.2858472       0.762418       0.002833 0 -1 -1 
  2459467.2859032       0.769470       0.002849 0 -1 -1 
  2459467.2859582       0.764144       0.002836 0 -1 -1 
  2459467.2860192       0.761265       0.002825 0 -1 -1 
  2459467.2860732       0.762308       0.002826 0 -1 -1 
  2459467.2861302       0.760333       0.002819 0 -1 -1 
  2459467.2861852       0.764426       0.002832 0 -1 -1 
  2459467.2862412       0.762072       0.002812 0 -1 -1 
  2459467.2862962       0.760544       0.002825 0 -1 -1 
  2459467.2863512       0.755016       0.002810 0 -1 -1 
  2459467.2864082       0.767400       0.002839 0 -1 -1 
  2459467.2864632       0.764707       0.002828 0 -1 -1 
  2459467.2865182       0.755165       0.002795 0 -1 -1 
  2459467.2865742       0.766092       0.002827 0 -1 -1 
  2459467.2866292       0.765681       0.002847 0 -1 -1 
  2459467.2866862       0.764191       0.002820 0 -1 -1 
  2459467.2867412       0.761508       0.002807 0 -1 -1 
  2459467.2867962       0.761151       0.002803 0 -1 -1 
  2459467.2868562       0.765084       0.002831 0 -1 -1 
  2459467.2869112       0.762318       0.002823 0 -1 -1 
  2459467.2869662       0.770323       0.002861 0 -1 -1 
  2459467.2870212       0.765411       0.002838 0 -1 -1 
  2459467.2870792       0.762874       0.002829 0 -1 -1 
  2459467.2871352       0.756879       0.002796 0 -1 -1 
  2459467.2871902       0.761084       0.002801 0 -1 -1 
  2459467.2872452       0.762804       0.002813 0 -1 -1 
  2459467.2873002       0.768044       0.002834 0 -1 -1 
  2459467.2873572       0.762481       0.002794 0 -1 -1 
  2459467.2874122       0.760832       0.002813 0 -1 -1 
  2459467.2874682       0.759038       0.002812 0 -1 -1 
  2459467.2875232       0.755488       0.002791 0 -1 -1 
  2459467.2875782       0.767242       0.002813 0 -1 -1 
  2459467.2876352       0.769129       0.002836 0 -1 -1 
  2459467.2876902       0.758951       0.002819 0 -1 -1 
  2459467.2877452       0.768363       0.002829 0 -1 -1 
  2459467.2878012       0.759947       0.002811 0 -1 -1 
  2459467.2878562       0.762670       0.002816 0 -1 -1 
